[-0.07572293  0.18214746],[-0.14756481  0.22021285],[1.7645748 1.1847544]
[-0.07725035  0.16724116],[-0.14549054  0.2253964 ],[1.7489041 1.1841441]
[-0.07860605],[-0.14916013],[1.7792844]
[-0.07509749  0.13473144],[-0.1466834   0.23143528],[1.749641  1.1899369]
[-0.07832716  0.13306579],[-0.1472165   0.23234299],[1.7561909 1.1933402]
[-0.07786269  0.13527861],[-0.14918113  0.23415582],[1.779461  1.2039244]
[-0.07546604  0.13369286],[-0.14491108  0.23217116],[1.7417997 1.1897334]
[-0.0790121   0.13372144],[-0.14812131  0.23439428],[1.7715175 1.2038667]
[-0.07539163  0.13512725],[-0.14729907  0.23236814],[1.756885  1.1933975]
[-0.07726172],[-0.14660707],[1.7488549]
[-0.07863559],[-0.14917569],[1.7795645]
[-0.07653102  0.13694695],[-0.14662758  0.23450564],[1.7490276 1.2002652]
[-0.07975205],[-0.14810048],[1.7713414]
